product_id,cityName,provinceCode
1iyrmIskqwwOmgqPoaZcJe028cT,LANGLEY,BC
1j6kSR3kG4zSkcVyi1FHiXlZefd,NORTH VANCOUVER,BC
1j6XhKCZv2SuGJd0tBctRc3uFWc,NORTH VANCOUVER,BC
1j7DwtzhUzjM80MdyHzfyYEtOry,NORTH VANCOUVER,BC
1jF7CUhbiTEUayKwTGxuTg3xwWv,BURNABY,BC
1jF8eWjR9nIFLisfHIqtgCAlvue,LANGLEY,BC
1jQQi72gG36hMkRlKTZXnZlBhj9,BURNABY,BC
1jTa00ihuubvKA1zIHPQ6pOZyrr,LANGLEY,BC
1jTHI9HICcQT6pKrRHiRAYHii7T,LANGLEY,BC
1jTL5N5OWZmU4oB6DF9PkfdEksR,LANGLEY,BC
1jTnbbMKmUINbEGMcv4BlndN8oe,LANGLEY,BC
1ju1PsYjaOxDBmqUxSHeZ1jR7J7,BURNABY,BC
1jvgfkGfnnSp2zghOnZla2uaCH6,BURNABY,BC
1jvg7S8QwxWysvb56RZI01QK011,BURNABY,BC
1jvyqiqVy39a8C1oSW5dFnbwoWP,BURNABY,BC
1k4Vl0yHfF62zuVlO51q1EMpUHx,BURNABY,BC
1khaBO1AbNoqxBOEk6vjgK2vbbM,WHITE ROCK,BC
1khdJlOopBLTfVmgoGhEVgJ2isq,WHITE ROCK,BC
1khskioi4wo0Bpp34MBTd9uIfY2,SURREY,BC
1khtQN62Kc3QVxVKbxpdKiQLGO0,SURREY,BC
1kiDaEEBVHnCJznflNnjVQNXN9l,VANCOUVER,BC
1kiE0uOcEoH9dhGyCQM6asC1VBg,VANCOUVER,BC
1kqCiyhrX6xpBvZtlwsewtFfmUF,VANCOUVER,BC
1kQcz8Rwy22O5fpAO0RRtDe1n7P,LANGLEY,BC
1kQnCNdevDgm7Y3h4yqXKrHbAvM,LANGLEY,BC
1kQppagLcq6fc0lM6mbN9Nb3eOd,LANGLEY,BC
1kRYtShiaP5SXcHB4VxXHbr6hoL,VANCOUVER,BC
1ksqDUmPo6eQP8wF3LSMDNqIC4a,DELTA,BC
1kt2akzkxqWjdz0G6avVeXW9qAE,DELTA,BC
1kt24TnTPlnGEPpuwVR7OaHpEwy,DELTA,BC
1ktKxLFPedsIW0aVeQhbByLpuyX,DELTA,BC
1kWftl85UrCM9u88GsnmlecLEXZ,VANCOUVER,BC
1kX0Fqi4Jw36UQkiVbNdZwbDvgc,SURREY,BC
1l27OcAEr8WBLiyMIJuVpw8s8hZ,DELTA,BC
1l27pDKcjKonWYW0Fmg2DqDYAlo,DELTA,BC
1l2MJsx36NIBA4mBzqHlJ6xD0Oo,DELTA,BC
1l49ATiZlMmCxysMAAHr0QyKzxV,DELTA,BC
1l4ARbEvYjGG6UEu1L49c3rnjE7,DELTA,BC
1l4IXNeDiV1DrTzbDYwzZ3AUGyL,DELTA,BC
1l4ImbwKJrQa0A28wXFODybpa1v,DELTA,BC
