"Monthly average retail prices for gasoline and fuel oil, by geography 1"
"Frequency: Monthly"
"Table: 18-10-0001-01 (formerly CANSIM 326-0009)"
"Release date: 2023-04-18"
"Geography: Canada, Census subdivision, Census metropolitan area, Census metropolitan area part"
""
""

"Type of fuel","Regular unleaded gasoline at self service filling stations",,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023"
,"Cents per litre",,,,,,,,,,,,,,,,,,,,,,,,,,
"Whitehorse, Yukon","124.1","127.1","132.8","139.8","141.6","144.9","148.9","154.6","155.8","155.9","155.9","155.9","157.2","164.5","177.0","182.8","202.2","217.1","208.5","186.6","186.2","199.9","186.3","174.5","169.6","167.8","169.2"
"Yellowknife, Northwest Territories","121.4","124.3","130.4","135.7","140.9","143.1","147.6","149.8","149.9","150.6","152.8","151.5","151.5","158.1","175.6","174.4","187.0","208.1","200.0","177.1","173.9","180.2","174.1","158.7","158.0","160.7","162.3"




Footnotes:
1,"For concepts and definitions, see publication Your Guide to the Consumer Price Index, catalogue no. 62-557-X, or publication The Canadian Consumer Price Index Reference Paper, catalogue no. 62-553-X. Additional information can also be obtained by contacting the <a href="mailto:statcan.cpddisseminationunit-dpcunitedediffusion.statcan@statcan.gc.ca">Consumer Prices Division</a>."
2,"Formerly Ottawa (Ottawa-Hull, Ontario part)."
3,"No average retail price for diesel fuel at full service filling stations is published for Thunder Bay because it is not applicable."
4,"No average retail price for fuel oil is published for Edmonton and Calgary because it is not applicable."



"How to cite: Statistics Canada. Table 18-10-0001-01  Monthly average retail prices for gasoline and fuel oil, by geography"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000101
